iter	Passed	Remaining
0	2	2635
1	5	2679
2	8	2605
3	11	2671
4	14	2770
5	17	2754
6	21	2841
7	24	2809
8	27	2812
9	30	2800
10	32	2765
11	35	2725
12	37	2704
13	40	2677
14	43	2665
15	45	2638
16	48	2618
17	50	2606
18	53	2597
19	56	2606
20	59	2630
21	62	2617
22	65	2620
23	67	2602
24	70	2592
25	73	2577
26	75	2565
27	78	2551
28	80	2537
29	83	2532
30	85	2523
31	88	2508
32	90	2505
33	93	2494
34	95	2485
35	98	2473
36	100	2463
37	103	2458
38	105	2450
39	108	2443
40	110	2435
41	113	2425
42	115	2417
43	117	2407
44	120	2398
45	122	2388
46	125	2386
47	127	2384
48	130	2383
49	133	2379
50	135	2378
51	139	2381
52	142	2394
53	145	2387
54	147	2382
55	150	2377
56	152	2371
57	155	2369
58	158	2376
59	162	2385
60	164	2380
61	167	2376
62	170	2375
63	172	2370
64	175	2376
65	179	2381
66	181	2373
67	184	2378
68	187	2374
69	190	2376
70	194	2390
71	197	2388
72	200	2384
73	202	2377
74	204	2369
75	207	2369
76	210	2372
77	213	2366
78	216	2366
79	218	2362
80	221	2359
81	224	2360
82	229	2377
83	232	2374
84	235	2372
85	237	2367
86	240	2367
87	243	2367
88	245	2360
89	248	2354
90	251	2352
91	254	2350
92	257	2355
93	260	2353
94	263	2353
95	266	2350
96	269	2349
97	272	2347
98	275	2346
99	278	2344
100	281	2344
101	284	2342
102	287	2343
103	290	2344
104	293	2342
105	296	2337
106	298	2333
107	301	2327
108	304	2326
109	307	2326
110	310	2326
111	312	2320
112	315	2316
113	318	2313
114	320	2309
115	323	2305
116	325	2299
117	328	2296
118	330	2291
119	333	2289
120	337	2289
121	339	2285
122	342	2281
123	345	2279
124	347	2275
125	351	2276
126	354	2276
127	357	2276
128	359	2271
129	362	2266
130	365	2263
131	367	2260
132	371	2260
133	374	2261
134	378	2262
135	381	2264
136	384	2264
137	388	2264
138	390	2259
139	393	2257
140	396	2254
141	398	2249
142	401	2248
143	405	2248
144	407	2244
145	410	2239
146	413	2238
147	416	2235
148	419	2236
149	422	2231
150	424	2227
151	427	2223
152	429	2218
153	432	2215
154	435	2212
155	437	2208
156	440	2206
157	443	2201
158	445	2197
159	448	2193
160	451	2191
161	453	2186
162	456	2183
163	458	2178
164	461	2175
165	463	2171
166	466	2169
167	469	2165
168	472	2163
169	474	2158
170	477	2155
171	479	2151
172	482	2148
173	485	2145
174	488	2143
175	491	2140
176	493	2137
177	497	2136
178	499	2133
179	502	2130
180	505	2126
181	507	2123
182	510	2121
183	514	2122
184	517	2119
185	519	2115
186	522	2113
187	525	2109
188	527	2106
189	530	2102
190	533	2099
191	535	2095
192	538	2091
193	541	2090
194	544	2086
195	546	2082
196	549	2079
197	551	2075
198	554	2071
199	556	2067
200	559	2065
201	561	2061
202	564	2057
203	566	2053
204	569	2050
205	571	2046
206	574	2043
207	577	2040
208	580	2037
209	583	2035
210	585	2032
211	588	2030
212	591	2026
213	593	2022
214	596	2019
215	599	2016
216	601	2012
217	604	2009
218	606	2005
219	609	2002
220	611	1999
221	614	1997
222	617	1993
223	619	1989
224	622	1986
225	625	1984
226	628	1981
227	630	1978
228	633	1976
229	636	1973
230	638	1969
231	641	1966
232	644	1964
233	647	1962
234	650	1959
235	653	1958
236	656	1955
237	658	1951
238	661	1947
239	664	1947
240	667	1943
241	670	1943
242	674	1943
243	677	1940
244	680	1939
245	683	1936
246	686	1933
247	688	1929
248	691	1927
249	694	1924
250	697	1923
251	701	1922
252	704	1920
253	707	1918
254	709	1915
255	713	1915
256	716	1912
257	719	1909
258	721	1906
259	724	1903
260	727	1899
261	730	1898
262	733	1895
263	736	1893
264	739	1891
265	742	1889
266	745	1887
267	748	1884
268	750	1881
269	753	1878
270	756	1875
271	758	1872
272	762	1870
273	764	1866
274	767	1864
275	771	1864
276	775	1864
277	778	1861
278	780	1857
279	783	1854
280	786	1851
281	788	1848
282	791	1845
283	794	1842
284	796	1839
285	799	1835
286	801	1832
287	804	1829
288	807	1826
289	810	1824
290	812	1820
291	815	1817
292	818	1815
293	821	1813
294	824	1810
295	827	1807
296	829	1805
297	832	1802
298	835	1799
299	837	1796
300	840	1792
301	843	1789
302	845	1785
303	847	1782
304	850	1778
305	853	1776
306	855	1772
307	858	1769
308	860	1766
309	863	1762
310	865	1759
311	868	1757
312	871	1753
313	874	1751
314	877	1749
315	880	1746
316	882	1743
317	885	1740
318	887	1736
319	890	1732
320	892	1729
321	895	1726
322	897	1723
323	900	1720
324	902	1716
325	905	1713
326	908	1710
327	910	1707
328	913	1704
329	916	1702
330	919	1699
331	921	1695
332	924	1693
333	927	1690
334	929	1686
335	932	1683
336	934	1680
337	937	1678
338	941	1676
339	944	1674
340	946	1671
341	949	1667
342	951	1664
343	953	1660
344	956	1658
345	958	1654
346	961	1650
347	963	1648
348	966	1645
349	969	1642
350	973	1641
351	975	1638
352	978	1635
353	981	1633
354	984	1631
355	988	1629
356	990	1626
357	993	1623
358	996	1621
359	999	1619
360	1002	1615
361	1005	1613
362	1008	1610
363	1010	1608
364	1013	1605
365	1016	1602
366	1019	1599
367	1022	1596
368	1025	1595
369	1029	1593
370	1032	1591
371	1034	1588
372	1037	1585
373	1041	1584
374	1045	1582
375	1047	1579
376	1051	1578
377	1054	1575
378	1057	1573
379	1061	1572
380	1065	1571
381	1068	1568
382	1071	1566
383	1074	1564
384	1078	1562
385	1081	1559
386	1083	1557
387	1086	1553
388	1089	1551
389	1092	1549
390	1095	1547
391	1099	1544
392	1101	1541
393	1104	1539
394	1108	1538
395	1111	1535
396	1114	1532
397	1116	1529
398	1119	1526
399	1122	1523
400	1125	1521
401	1129	1519
402	1132	1517
403	1134	1514
404	1138	1511
405	1141	1509
406	1144	1507
407	1147	1504
408	1149	1501
409	1152	1498
410	1156	1496
411	1158	1493
412	1161	1490
413	1164	1488
414	1168	1486
415	1172	1484
416	1174	1481
417	1177	1478
418	1179	1475
419	1182	1472
420	1185	1470
421	1188	1467
422	1191	1464
423	1194	1462
424	1197	1459
425	1200	1457
426	1203	1454
427	1206	1451
428	1209	1449
429	1212	1446
430	1214	1443
431	1217	1440
432	1220	1437
433	1222	1434
434	1225	1431
435	1228	1428
436	1230	1425
437	1234	1423
438	1238	1421
439	1241	1419
440	1243	1416
441	1246	1412
442	1249	1409
443	1252	1407
444	1255	1404
445	1257	1401
446	1260	1398
447	1262	1395
448	1265	1392
449	1268	1390
450	1271	1387
451	1274	1384
452	1277	1381
453	1280	1378
454	1283	1376
455	1285	1373
456	1288	1370
457	1291	1367
458	1294	1365
459	1297	1362
460	1300	1359
461	1303	1356
462	1305	1353
463	1308	1351
464	1311	1348
465	1314	1345
466	1317	1342
467	1320	1340
468	1323	1337
469	1325	1334
470	1328	1331
471	1331	1328
472	1334	1326
473	1337	1323
474	1340	1320
475	1343	1317
476	1345	1314
477	1348	1311
478	1350	1308
479	1353	1305
480	1356	1302
481	1359	1300
482	1362	1297
483	1364	1294
484	1367	1291
485	1370	1288
486	1372	1285
487	1375	1282
488	1378	1279
489	1380	1276
490	1384	1274
491	1386	1271
492	1389	1268
493	1392	1265
494	1395	1262
495	1398	1260
496	1400	1257
497	1403	1254
498	1406	1251
499	1409	1248
500	1412	1245
501	1415	1243
502	1418	1240
503	1420	1237
504	1423	1234
505	1426	1231
506	1429	1229
507	1432	1226
508	1434	1223
509	1437	1220
510	1440	1218
511	1443	1215
512	1447	1212
513	1449	1209
514	1452	1206
515	1454	1203
516	1457	1200
517	1460	1198
518	1463	1195
519	1466	1192
520	1469	1190
521	1472	1187
522	1475	1184
523	1477	1181
524	1480	1178
525	1483	1176
526	1486	1173
527	1489	1170
528	1492	1167
529	1495	1165
530	1497	1162
531	1500	1159
532	1503	1156
533	1505	1153
534	1508	1150
535	1512	1148
536	1514	1145
537	1517	1142
538	1519	1139
539	1523	1136
540	1526	1134
541	1529	1131
542	1533	1129
543	1535	1126
544	1537	1123
545	1540	1120
546	1543	1117
547	1546	1114
548	1548	1111
549	1551	1108
550	1554	1105
551	1557	1102
552	1560	1100
553	1563	1097
554	1565	1094
555	1568	1091
556	1570	1088
557	1573	1085
558	1576	1083
559	1580	1080
560	1582	1077
561	1585	1074
562	1588	1072
563	1590	1068
564	1593	1065
565	1596	1063
566	1598	1060
567	1601	1057
568	1604	1054
569	1606	1051
